start_time,close,datetime,high,low,open,volume
1613599200000,1838.07,2021-02-17 22:00:00,1855.0,1830.1,1852.99,27174.07817
1613602800000,1849.88,2021-02-17 23:00:00,1852.0,1831.18,1838.07,27687.99135
1613606400000,1869.53,2021-02-18 00:00:00,1869.65,1849.69,1849.7,47782.28159
1613610000000,1906.17,2021-02-18 01:00:00,1919.22,1865.64,1869.51,97152.47891
1613613600000,1908.0,2021-02-18 02:00:00,1918.0,1894.05,1906.45,39334.99332
1613617200000,1891.99,2021-02-18 03:00:00,1908.0,1886.82,1908.0,31136.35144
1613620800000,1901.09,2021-02-18 04:00:00,1902.78,1879.28,1892.45,27924.16087
1613624400000,1899.53,2021-02-18 05:00:00,1910.0,1896.0,1901.33,24305.04171
1613628000000,1896.3,2021-02-18 06:00:00,1906.3,1888.01,1899.52,27215.47938
1613631600000,1898.85,2021-02-18 07:00:00,1906.18,1879.24,1896.3,41270.59307
1613635200000,1890.16,2021-02-18 08:00:00,1910.0,1885.09,1898.9,31770.60181
1613638800000,1901.12,2021-02-18 09:00:00,1904.0,1882.13,1890.15,31728.50663
1613642400000,1916.01,2021-02-18 10:00:00,1929.0,1901.12,1901.13,55594.59076
1613646000000,1900.41,2021-02-18 11:00:00,1920.66,1890.0,1916.12,57830.7606
1613649600000,1902.01,2021-02-18 12:00:00,1907.5,1881.07,1900.61,60071.90164
1613653200000,1913.53,2021-02-18 13:00:00,1920.0,1895.2,1902.01,37400.53538
1613656800000,1924.02,2021-02-18 14:00:00,1925.0,1907.36,1913.53,36314.58171
1613660400000,1907.91,2021-02-18 15:00:00,1925.0,1899.3,1924.02,42009.41142
1613664000000,1922.37,2021-02-18 16:00:00,1922.66,1906.44,1908.16,28660.54767
1613667600000,1917.3,2021-02-18 17:00:00,1923.0,1913.03,1922.36,24690.74836
1613671200000,1926.17,2021-02-18 18:00:00,1939.56,1912.7,1917.3,42658.95774
1613674800000,1922.55,2021-02-18 19:00:00,1940.0,1917.53,1926.18,31176.26267
1613678400000,1938.2,2021-02-18 20:00:00,1941.0,1914.0,1922.48,28320.843
1613682000000,1945.13,2021-02-18 21:00:00,1950.5,1934.12,1938.27,34679.14307
1613685600000,1937.99,2021-02-18 22:00:00,1948.76,1932.36,1945.13,19587.77941
1613689200000,1939.61,2021-02-18 23:00:00,1943.13,1914.38,1937.99,38610.54975
1613692800000,1928.42,2021-02-19 00:00:00,1952.0,1925.83,1938.91,37631.97018
1613696400000,1916.92,2021-02-19 01:00:00,1937.62,1908.0,1928.42,41400.28795
1613700000000,1916.52,2021-02-19 02:00:00,1920.25,1891.0,1917.23,47920.3921
1613703600000,1910.21,2021-02-19 03:00:00,1925.0,1908.71,1916.56,23450.34408
1613707200000,1903.26,2021-02-19 04:00:00,1923.17,1895.8,1910.22,31985.3348
1613710800000,1914.98,2021-02-19 05:00:00,1918.0,1903.0,1903.21,30501.07868
1613714400000,1922.91,2021-02-19 06:00:00,1923.91,1913.0,1914.97,26603.50782
1613718000000,1919.1,2021-02-19 07:00:00,1926.91,1919.06,1923.11,25477.66498
1613721600000,1921.5,2021-02-19 08:00:00,1926.37,1904.02,1919.1,34592.56608
1613725200000,1933.1,2021-02-19 09:00:00,1942.77,1921.49,1921.49,44404.51302
1613728800000,1927.39,2021-02-19 10:00:00,1940.02,1925.0,1933.1,26839.80581
1613732400000,1934.38,2021-02-19 11:00:00,1934.5,1922.82,1927.44,22724.25951
1613736000000,1929.89,2021-02-19 12:00:00,1940.37,1926.66,1934.39,28161.93861
1613739600000,1923.57,2021-02-19 13:00:00,1934.01,1916.14,1929.91,44739.63384
1613743200000,1915.72,2021-02-19 14:00:00,1927.8,1915.0,1923.67,32613.18546
1613746800000,1929.91,2021-02-19 15:00:00,1939.5,1914.11,1915.71,47504.53331
1613750400000,1946.33,2021-02-19 16:00:00,1960.0,1930.07,1930.07,62625.39456
1613754000000,1963.83,2021-02-19 17:00:00,1969.23,1941.0,1946.54,28355.8325
1613757600000,1966.94,2021-02-19 18:00:00,1970.75,1953.0,1963.84,16262.3016
1613761200000,1952.88,2021-02-19 19:00:00,1972.82,1944.83,1966.54,33884.29915
1613764800000,1951.69,2021-02-19 20:00:00,1960.84,1945.6,1952.84,25882.49023
1613768400000,1958.67,2021-02-19 21:00:00,1966.54,1951.01,1951.69,35583.54547
1613772000000,1952.0,2021-02-19 22:00:00,1960.0,1948.57,1958.82,20372.16932
1613775600000,1955.0,2021-02-19 23:00:00,1963.42,1949.44,1952.0,23887.36244
1613779200000,1933.46,2021-02-20 00:00:00,1960.87,1922.51,1955.46,62167.72844
1613782800000,1950.43,2021-02-20 01:00:00,1952.5,1932.18,1933.47,43883.50367
1613786400000,1983.35,2021-02-20 02:00:00,1986.22,1941.25,1950.13,51202.88056
1613790000000,2018.93,2021-02-20 03:00:00,2021.68,1976.6,1983.33,99155.08081
1613793600000,2022.2,2021-02-20 04:00:00,2042.34,2007.6,2018.43,62110.17737
1613797200000,2014.45,2021-02-20 05:00:00,2032.77,1998.1,2022.2,39506.30262
